Country_code,Country_name,ISO_Alpha3,Latitude,Longitude
3140,Iraq,IRQ,33.0955793,44.1749775
3150,Israel,ISR,30.8124247,34.8594762
3160,Japan,JPN,36.5748441,139.2394179
3170,Jordan,JOR,31.1667049,36.941628
3190,Kuwait,KWT,29.2733964,47.4979476
3200,Lao People's Democratic Republic,LAO,20.0171109,103.378253
3210,Lebanon,LBN,33.8750629,35.843409
3220,Macau,,22.1899448,113.5380454
3236,Malaysia,MYS,4.5693754,102.2656823
3255,Maldives,MDV,3.7203503,73.2244152
3260,Mongolia,MNG,46.8250388,103.8499736
3270,Myanmar,MMR,17.1750495,95.9999652
3280,Nepal,NPL,28.3780464,83.9999901
3283,Occupied Palestinian Territory,,31.92157,35.20329
3285,Oman,OMN,21.0000287,57.0036901
3290,Pakistan,PAK,30.3308401,71.247499
3300,Philippines,PHL,12.7503486,122.7312101
3320,Qatar,QAT,25.3336984,51.2295295
3325,Republic of Korea,,36.638392,127.6961188
3330,Ryu Kyu Islands,,22.26382,113.96038
3340,Saudi Arabia,SAU,25.6242618,42.3528328
3350,Singapore,SGP,1.357107,103.8194992
3365,Sri Lanka,LKA,7.5554942,80.7137847
3370,Syrian Arab Republic,SYR,34.6401861,39.0494106
3380,Thailand,THA,14.8971921,100.83273
3400,Turkey,,38.9597594,34.9249653
3405,United Arab Emirates,ARE,24.0002488,53.9994829
3408,Viet Nam,VNM,15.9266657,107.9650855
3420,Yemen,YEM,16.3471243,47.8915271
4005,Albania,ALB,41.000028,19.9999619
4007,Armenia,ARM,40.7696272,44.6736646
4008,Andorra,AND,42.5407167,1.5732033
4010,Austria,AUT,47.59397,14.12456
4012,Azerbaijan,AZE,40.3936294,47.7872508
4018,Belarus,BLR,53.4250605,27.6971358
4020,Belgium,BEL,50.6402809,4.6667145
4025,Bosnia and Herzegovina,BIH,44.3053476,17.5961467
4030,Bulgaria,BGR,42.6073975,25.4856617
4038,Croatia,HRV,45.3658443,15.6575209
4040,"Czechoslovakia, Former",,,
4045,Czech Republic,CZE,49.7439047,15.3381061
4050,Denmark,DNK,55.670249,10.3333283
4055,Estonia,EST,58.7523778,25.3319078
4070,Finland,FIN,63.2467777,25.9209164
4080,France,FRA,46.603354,1.8883335
4084,Georgia,GEO,32.3293809,-83.1137366
4085,Germany,DEU,51.1638175,10.4478313
4090,"Germany, Former Democratic Republic",,37.12005,-93.48019
4100,"Germany, Former Federal Republic",,37.12005,-93.48019
4120,"Germany, West Berlin",,52.5347721,13.1974528
4140,Greece,GRC,38.9953683,21.9877132
4150,Hungary,HUN,47.1817585,19.5060937
4160,Iceland,ISL,64.9841821,-18.1059013
4170,Ireland,IRL,52.865196,-7.9794599
4180,Italy,ITA,42.6384261,12.674297
4182,Kazakhstan,KAZ,48.1012954,66.7780818
4184,Kyrgyzstan,KGZ,41.5089324,74.724091
4186,Latvia,LVA,56.8406494,24.7537645
4188,Lithuania,LTU,55.3500003,23.7499997
4190,Luxembourg,LUX,49.8158683,6.1296751
4195,North Macedonia,MKD,41.6171214,21.7168387
4200,Malta,MLT,35.8885993,14.4476911
4205,Monaco,MCO,43.7323492,7.4276832
4207,Montenegro,MNE,42.9868853,19.5180992
4210,Netherlands,NLD,52.2434979,5.6343227
4220,Norway,NOR,61.1529386,8.7876653
4230,Poland,POL,52.215933,19.134422
4240,Portugal,PRT,39.6621648,-8.1353519
4260,Republic of Moldova,MDA,47.2879608,28.5670941
4270,Romania,ROU,45.9852129,24.6859225
4272,Russian Federation,RUS,64.6863136,97.7453061
4273,Serbia,SRB,44.1534121,20.55144
4274,Slovakia,SVK,48.7411522,19.4528646
4275,San Marino,SMR,43.9458623,12.458306
4276,Slovenia,SVN,46.1199444,14.8153333
4280,Spain,ESP,39.3260685,-4.8379791
4290,Sweden,SWE,59.6749712,14.5208584
4300,Switzerland,CHE,46.7985624,8.2319736
4301,Tajikistan,TJK,38.6281733,70.8156541
4302,Turkmenistan,TKM,39.3763807,59.3924609
4303,Ukraine,UKR,49.4871968,31.2718321
4304,"USSR, Former",,,
4308,United Kingdom,GBR,54.7023545,-3.2765753
4310,"United Kingdom, England and Wales",,51.5163683,-0.0881557
4320,"United Kingdom, Northern Ireland",,54.5859836,-6.9591554
4330,"United Kingdom, Scotland",,56.7861112,-4.1140518
4335,Uzbekistan,UZB,41.32373,63.9528098
4340,"Yugoslavia, Former",,,
4350,"Serbia and Montenegro, Former",,,
5020,Australia,AUS,-24.7761086,134.755
5060,Cook Islands,COK,-19.9969716,-157.7858714
5070,Fiji,FJI,-18.1239696,179.0122737
5105,Kiribati,KIR,0.3448612,173.6641773
5107,Marshall Islands,MHL,8.230817,167.7953224
5108,Micronesia (Federated States of),,8.6062347,151.8327443
5110,Nauru,NRU,-0.5252306,166.9324426
5150,New Zealand,NZL,-41.5000831,172.8344077
5170,Niue,NIU,-19.0536414,-169.861341
5180,Palau,PLW,5.3783537,132.9102573
5195,Papua New Guinea,PNG,-5.6816069,144.2489081
5197,Samoa,WSM,-13.7693895,-172.12005
5198,Solomon Islands,SLB,-8.7053941,159.1070694
5200,Tonga,TON,-19.9160819,-175.202642
5205,Tuvalu,TUV,-8.6405212,179.1582918
5207,Vanuatu,VUT,-16.5255069,168.1069154
