Country_code,Country_name,ISO_Alpha3,Year,Cause_Group,Sex,Total_deaths
1125,Egypt,EGY,2016,H,2,22
1125,Egypt,EGY,2016,I,1,140074
1125,Egypt,EGY,2016,I,2,119301
1125,Egypt,EGY,2016,J,1,22606
1125,Egypt,EGY,2016,J,2,18821
1125,Egypt,EGY,2016,K,1,33784
1125,Egypt,EGY,2016,K,2,22310
1125,Egypt,EGY,2016,L,1,208
1125,Egypt,EGY,2016,L,2,370
1125,Egypt,EGY,2016,M,1,102
1125,Egypt,EGY,2016,M,2,137
1125,Egypt,EGY,2016,N,1,11980
1125,Egypt,EGY,2016,N,2,9739
1125,Egypt,EGY,2016,O,2,345
1125,Egypt,EGY,2016,P,1,2309
1125,Egypt,EGY,2016,P,2,1721
1125,Egypt,EGY,2016,Q,1,4280
1125,Egypt,EGY,2016,Q,2,3527
1125,Egypt,EGY,2016,R,1,34405
1125,Egypt,EGY,2016,R,2,31986
1125,Egypt,EGY,2016,V,1,6724
1125,Egypt,EGY,2016,V,2,1510
1125,Egypt,EGY,2016,W,1,3466
1125,Egypt,EGY,2016,W,2,905
1125,Egypt,EGY,2016,X,1,446
1125,Egypt,EGY,2016,X,2,309
1125,Egypt,EGY,2016,Y,1,5326
1125,Egypt,EGY,2016,Y,2,1983
1125,Egypt,EGY,2017,A,1,306573
1125,Egypt,EGY,2017,A,2,251398
1125,Egypt,EGY,2017,B,1,5046
1125,Egypt,EGY,2017,B,2,3400
1125,Egypt,EGY,2017,C,1,17993
1125,Egypt,EGY,2017,C,2,14506
1125,Egypt,EGY,2017,D,1,3764
1125,Egypt,EGY,2017,D,2,3685
1125,Egypt,EGY,2017,E,1,5009
1125,Egypt,EGY,2017,E,2,5779
1125,Egypt,EGY,2017,F,1,197
1125,Egypt,EGY,2017,F,2,151
1125,Egypt,EGY,2017,G,1,2308
1125,Egypt,EGY,2017,G,2,2093
1125,Egypt,EGY,2017,H,1,20
1125,Egypt,EGY,2017,H,2,22
1125,Egypt,EGY,2017,I,1,143377
1125,Egypt,EGY,2017,I,2,123853
1125,Egypt,EGY,2017,J,1,21478
1125,Egypt,EGY,2017,J,2,18141
1125,Egypt,EGY,2017,K,1,32133
1125,Egypt,EGY,2017,K,2,21867
1125,Egypt,EGY,2017,L,1,207
1125,Egypt,EGY,2017,L,2,370
1125,Egypt,EGY,2017,M,1,81
1125,Egypt,EGY,2017,M,2,130
1125,Egypt,EGY,2017,N,1,11894
1125,Egypt,EGY,2017,N,2,9650
1125,Egypt,EGY,2017,O,2,305
1125,Egypt,EGY,2017,P,1,2096
1125,Egypt,EGY,2017,P,2,1575
1125,Egypt,EGY,2017,Q,1,4039
1125,Egypt,EGY,2017,Q,2,3502
1125,Egypt,EGY,2017,R,1,30725
1125,Egypt,EGY,2017,R,2,28001
1125,Egypt,EGY,2017,V,1,6088
1125,Egypt,EGY,2017,V,2,1308
1125,Egypt,EGY,2017,W,1,3222
1125,Egypt,EGY,2017,W,2,809
1125,Egypt,EGY,2017,X,1,607
1125,Egypt,EGY,2017,X,2,225
1125,Egypt,EGY,2017,Y,1,4939
1125,Egypt,EGY,2017,Y,2,1850
1125,Egypt,EGY,2018,A,1,312355
1125,Egypt,EGY,2018,A,2,258111
1125,Egypt,EGY,2018,B,1,4528
1125,Egypt,EGY,2018,B,2,3059
1125,Egypt,EGY,2018,C,1,18700
1125,Egypt,EGY,2018,C,2,15055
1125,Egypt,EGY,2018,D,1,3495
1125,Egypt,EGY,2018,D,2,3456
1125,Egypt,EGY,2018,E,1,4669
1125,Egypt,EGY,2018,E,2,5486
1125,Egypt,EGY,2018,F,1,160
1125,Egypt,EGY,2018,F,2,131
1125,Egypt,EGY,2018,G,1,2165
1125,Egypt,EGY,2018,G,2,2082
1125,Egypt,EGY,2018,H,1,16
1125,Egypt,EGY,2018,H,2,20
1125,Egypt,EGY,2018,I,1,155413
1125,Egypt,EGY,2018,I,2,134562
1125,Egypt,EGY,2018,J,1,23990
1125,Egypt,EGY,2018,J,2,20402
1125,Egypt,EGY,2018,K,1,27057
1125,Egypt,EGY,2018,K,2,18455
1125,Egypt,EGY,2018,L,1,219
1125,Egypt,EGY,2018,L,2,365
1125,Egypt,EGY,2018,M,1,82
1125,Egypt,EGY,2018,M,2,100
1125,Egypt,EGY,2018,N,1,11631
1125,Egypt,EGY,2018,N,2,9796
1125,Egypt,EGY,2018,O,2,289
1125,Egypt,EGY,2018,P,1,1978
1125,Egypt,EGY,2018,P,2,1482
1125,Egypt,EGY,2018,Q,1,3822
1125,Egypt,EGY,2018,Q,2,3198
1125,Egypt,EGY,2018,R,1,30135
1125,Egypt,EGY,2018,R,2,26622
1125,Egypt,EGY,2018,V,1,5522
1125,Egypt,EGY,2018,V,2,1282
1125,Egypt,EGY,2018,W,1,2965
1125,Egypt,EGY,2018,W,2,779
1125,Egypt,EGY,2018,X,1,347
1125,Egypt,EGY,2018,X,2,186
1125,Egypt,EGY,2018,Y,1,4685
1125,Egypt,EGY,2018,Y,2,1764
1125,Egypt,EGY,2019,A,1,317748
1125,Egypt,EGY,2019,A,2,263575
1125,Egypt,EGY,2019,B,1,3693
1125,Egypt,EGY,2019,B,2,2567
1125,Egypt,EGY,2019,C,1,17414
1125,Egypt,EGY,2019,C,2,13961
1125,Egypt,EGY,2019,D,1,3598
1125,Egypt,EGY,2019,D,2,3330
1125,Egypt,EGY,2019,E,1,4048
1125,Egypt,EGY,2019,E,2,5084
1125,Egypt,EGY,2019,F,1,157
1125,Egypt,EGY,2019,F,2,135
1125,Egypt,EGY,2019,G,1,1803
1125,Egypt,EGY,2019,G,2,1708
1125,Egypt,EGY,2019,H,1,23
1125,Egypt,EGY,2019,H,2,20
1125,Egypt,EGY,2019,I,1,164164
1125,Egypt,EGY,2019,I,2,142199
1125,Egypt,EGY,2019,J,1,26353
1125,Egypt,EGY,2019,J,2,22229
1125,Egypt,EGY,2019,K,1,23438
1125,Egypt,EGY,2019,K,2,16255
1125,Egypt,EGY,2019,L,1,197
1125,Egypt,EGY,2019,L,2,323
1125,Egypt,EGY,2019,M,1,88
1125,Egypt,EGY,2019,M,2,68
1125,Egypt,EGY,2019,N,1,11425
1125,Egypt,EGY,2019,N,2,9729
1125,Egypt,EGY,2019,O,2,272
1125,Egypt,EGY,2019,P,1,1809
1125,Egypt,EGY,2019,P,2,1323
1125,Egypt,EGY,2019,Q,1,3431
1125,Egypt,EGY,2019,Q,2,2919
1125,Egypt,EGY,2019,R,1,32064
1125,Egypt,EGY,2019,R,2,27330
1125,Egypt,EGY,2019,V,1,5493
